experience_years,skill_match_count,skill_match_ratio,current_assignments,risk_level_encoded,exp_meets_risk,total_skills,condition_count,good_match
15,1,0.25,5,0,1,3,4,0
7,2,0.5,0,2,1,5,4,1
3,1,0.25,1,0,1,4,4,1
14,0,0.0,6,1,1,2,1,0
7,3,1.0,4,1,1,7,3,1
4,1,0.5,4,2,1,4,2,1
6,2,1.0,1,0,1,5,2,1
13,1,1.0,1,0,1,5,1,1
6,2,0.5,0,0,1,5,4,0
10,2,1.0,7,2,1,4,2,0
7,0,0.0,7,2,1,5,2,0
9,0,0.0,5,2,1,6,3,0
1,3,0.75,5,2,0,6,4,0
6,0,0.0,4,2,1,3,2,0
5,1,0.25,0,2,1,4,4,1
9,0,0.0,5,0,1,2,1,1
0,2,0.6667,2,1,0,5,3,1
4,2,0.6667,1,1,1,4,3,1
9,1,0.3333,6,2,1,5,3,0
1,0,0.0,5,1,0,2,3,0
6,1,0.5,2,0,1,7,2,1
4,1,0.5,6,1,1,7,2,0
11,2,1.0,1,0,1,4,2,1
14,1,0.5,1,2,1,7,2,1
0,1,0.25,5,0,1,2,4,0
10,1,0.3333,2,1,1,5,3,1
0,0,0.0,6,1,0,2,3,0
2,0,0.0,7,1,1,3,2,0
7,0,0.0,6,0,1,2,3,0
11,1,1.0,4,2,1,7,1,1
5,2,0.5,6,0,1,6,4,1
0,1,1.0,7,1,0,7,1,0
13,0,0.0,1,1,1,4,1,0
13,1,0.25,4,1,1,3,4,1
1,0,0.0,5,1,0,7,1,0
5,1,0.5,1,1,1,2,2,1
12,2,0.6667,3,1,1,4,3,1
6,0,0.0,7,0,1,4,4,0
1,1,0.25,0,0,1,5,4,1
3,1,0.25,1,1,1,4,4,1
10,0,0.0,2,1,1,3,2,0
6,1,0.5,4,1,1,2,2,1
10,2,0.5,1,2,1,6,4,1
8,0,0.0,7,1,1,6,2,0
8,1,1.0,3,0,1,7,1,1
11,0,0.0,3,0,1,6,2,0
10,0,0.0,4,2,1,4,2,0
5,0,0.0,1,0,1,6,1,0
1,0,0.0,4,2,0,4,3,0
11,2,0.6667,5,0,1,7,3,1
5,1,1.0,4,2,1,3,1,1
10,0,0.0,1,1,1,2,4,0
0,1,0.3333,7,1,0,2,3,0
7,0,0.0,5,2,1,2,1,0
10,1,1.0,7,0,1,4,1,0
10,0,0.0,1,2,1,6,2,0
6,0,0.0,6,2,1,2,4,0
11,2,0.6667,7,2,1,5,3,0
4,2,1.0,7,0,1,7,2,0
4,1,1.0,1,0,1,7,1,1
10,1,0.25,1,0,1,2,4,1
3,2,0.5,6,0,1,7,4,0
4,2,0.5,0,0,1,7,4,1
8,0,0.0,2,0,1,5,3,0
5,0,0.0,0,2,1,6,4,0
1,0,0.0,6,1,0,3,1,0
5,0,0.0,5,0,1,4,4,0
12,0,0.0,7,2,1,2,3,0
15,1,0.3333,1,1,1,7,3,1
13,3,0.75,5,0,1,6,4,1
15,2,0.6667,4,0,1,7,3,1
8,2,0.6667,0,2,1,2,3,1
3,1,1.0,4,1,1,3,1,1
5,0,0.0,3,1,1,3,1,0
6,0,0.0,7,1,1,2,3,0
13,3,0.75,2,1,1,6,4,1
4,2,0.6667,2,2,1,5,3,1
4,1,0.3333,6,1,1,4,3,0
5,2,0.6667,4,0,1,7,3,1
11,2,0.5,4,1,1,4,4,1
1,0,0.0,6,2,0,3,1,0
5,1,0.25,0,0,1,2,4,1
1,1,0.3333,1,0,1,6,3,1
1,2,0.6667,5,1,0,5,3,0
